route_id,service_id,trip_id,trip_headsign,wheelchair_accessible
RXr2,RX-036KM,RX_10_2_036KM_011021,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011023,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011025,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011027,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_011029,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021003,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021005,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021007,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021009,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021011,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021013,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021015,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021017,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021019,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021021,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021023,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021025,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021027,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021029,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021031,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_021033,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031003,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031005,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031007,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031009,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031011,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031013,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031015,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031017,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031019,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031021,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031023,"Gare Part  Dieu",1
RXr2,RX-036KM,RX_10_2_036KM_031025,"Gare Part  Dieu",1
